ltoId,itoId
4,74
4,75
4,76
4,77
8,77
27,77
4,78
8,78
27,78
4,79
8,79
27,79
4,80
8,80
27,80
4,81
8,81
27,81
4,82
8,82
27,82
4,83
8,83
27,83
4,84
8,84
27,84
4,85
8,85
27,85
4,86
8,86
27,86
4,87
8,87
27,87
12,87
19,161
19,162
19,163
19,164
19,165
19,166
19,167
19,168
22,168
1,213
1,214
1,215
1,216
1,217
7,217
1,218
7,218
1,219
7,219
1,220
7,220
1,221
7,221
11,221
14,221
1,222
7,222
11,222
14,222
1,223
7,223
11,223
14,223
1,224
7,224
11,224
14,224
1,225
7,225
11,225
14,225
17,225
1,226
7,226
11,226
14,226
17,226
1,227
7,227
11,227
14,227
17,227
1,228
7,228
11,228
14,228
17,228
1,229
7,229
11,229
14,229
17,229
20,229
1,230
7,230
11,230
14,230
17,230
20,230
1,231
7,231
11,231
14,231
17,231
20,231
1,232
7,232
11,232
14,232
17,232
20,232
1,233
7,233
11,233
14,233
17,233
20,233
1,234
7,234
11,234
14,234
17,234
20,234
1,235
7,235
11,235
14,235
17,235
20,235
1,236
7,236
11,236
14,236
17,236
20,236
23,236
1,237
7,237
11,237
14,237
17,237
20,237
23,237
28,237
1,238
7,238
11,238
14,238
17,238
20,238
23,238
28,238
1,239
7,239
11,239
14,239
17,239
20,239
23,239
28,239
